Organization,Threat Actor,Date
KOPA Kozmetik A,qilin,12/31/2025
Luminex Software,qilin,12/31/2025
collinscomputing.com,lockbit5,12/31/2025
drogales.com.br,lockbit5,12/31/2025
eroselevators.com,lockbit5,12/31/2025
esopdirect.com,lockbit5,12/31/2025
fortishealthcare.com,lockbit5,12/31/2025
Infinite Computing Systems,play,12/31/2025
BNZ Materials,qilin,12/31/2025
Hunneman,interlock,12/31/2025
Z-Tronix,qilin,12/31/2025
Quasar,qilin,12/31/2025
TaLachaim,qilin,12/31/2025
Burnham Brown,incransom,12/31/2025
3GH Informatica Integral,incransom,12/31/2025
Sedgwick Government Solutions,tridentlocker,12/30/2025
"OSI Systems, Inc.",incransom,12/30/2025
Stewart Engenharia,thegentlemen,12/30/2025
Auforum AG,qilin,12/30/2025
"Midkiff, Muncie & Ross, P.C",nightspire,12/30/2025
"Falk, Waas, Hernandez, Cortina, Solomon & Bonner Overview Metrics",rhysida,12/30/2025
Fitzpatrickhotels.com,cloak,12/30/2025
BioNet-Asia,thegentlemen,12/30/2025
ManageMyHealth - New Zealand,kazu,12/30/2025
Firmengruppe Hoffmann,spacebears,12/30/2025
setex-textil.de,safepay,12/29/2025
davidrosenbakerysupply.com,safepay,12/29/2025
knightgroup.co.uk,safepay,12/29/2025
moorelumber.com,safepay,12/29/2025
usdaw.org.uk,safepay,12/29/2025
investigacionesmedicas.com,safepay,12/29/2025
sproutnet.com,safepay,12/29/2025
precisionaluminum.ca,safepay,12/29/2025
estrumar.es,safepay,12/29/2025
Genoa Lakes,play,12/29/2025
Esquire Brands,play,12/29/2025
JZ Russell Industries,play,12/29/2025
MP Filtri,play,12/29/2025
C&r Electric,play,12/29/2025
surfishtrade.com,lockbit5,12/29/2025
klax.de,lockbit5,12/29/2025
labayenylaborde.com,lockbit5,12/29/2025
samkee.com,lockbit5,12/29/2025
SEACSUB S.p.a.,qilin,12/29/2025
Burnex,dragonforce,12/29/2025
NK Technologies,dragonforce,12/29/2025
Saudi Icon,kazu,12/29/2025
selp,incransom,12/29/2025
Grupo Hafesa,qilin,12/29/2025
Sintac Recycling,qilin,12/29/2025
ESSPL,ransomhouse,12/29/2025
Willowdale Steeplechase,qilin,12/29/2025
INHA University,gunra,12/29/2025
