Organization,Threat Actor,Date
rjcorp.in,lockbit3,3/31/2024
lavelle.com,lockbit3,3/31/2024
https://www.claro.com/,trigona,3/30/2024
Pavilion Construction LLC,bianlian,3/30/2024
W?????? ????????y,play,3/29/2024
newagesys.com\$24.1M\USA\319GB\100%DISCLOSED,cactus,3/29/2024
kelson.on.ca\$61.8M\Canada\1.5TB\100%DISCLOSED,cactus,3/29/2024
contenderboats.com\$51.8M\USA\65GB\100%DISCLOSED,cactus,3/29/2024
Control Technology,akira,3/29/2024
Graypen Ltd,incransom,3/29/2024
Sysmex,hunters,3/29/2024
rameywine.com,abyss,3/29/2024
Tech-Quip Inc,incransom,3/29/2024
PSEC Church,incransom,3/29/2024
Lodan Electronics Inc,incransom,3/29/2024
Avant IT Norway<www.avantit.no>,ransomhub,3/28/2024
Lakes Precision,akira,3/28/2024
Santa Cruz Seaside,akira,3/28/2024
Neurobehavioral Medicine Consultants,bianlian,3/28/2024
Florida Memorial University,incransom,3/28/2024
Exela Technologies,hunters,3/28/2024
Reeves-Wiedeman,bianlian,3/28/2024
Primeimaging Data Leak,everest,3/28/2024
Otolaryngology Associates,incransom,3/27/2024
anovahealth.com,lockbit3,3/27/2024
Pavilion Construction,play,3/27/2024
Summer Fresh,qilin,3/27/2024
CAROLINA FOODS INC.,blackbasta,3/27/2024
Amerlux,blackbasta,3/27/2024
Organized Living,blackbasta,3/27/2024
MJ Celco,blackbasta,3/27/2024
KMB,blackbasta,3/27/2024
PCT International Inc.,blackbasta,3/27/2024
Sports South,blackbasta,3/27/2024
Vili’s,blackbasta,3/27/2024
P&amp;S Transportation,blackbasta,3/27/2024
FPD Company,blackbasta,3/27/2024
North American Signs,blackbasta,3/27/2024
OTR’s,blackbasta,3/27/2024
Prodrive,blackbasta,3/27/2024
Dallas Gold &amp; Silver Exchange (DGSE),blackbasta,3/27/2024
Bulwark Exterminating,blackbasta,3/27/2024
Lagunitas Brewing Company,blackbasta,3/27/2024
Mermet,akira,3/27/2024
West Monroe,play,3/27/2024
Weld Plus,play,3/27/2024
Tbr Kowalczyk,play,3/27/2024
Quality Enclosures,play,3/27/2024
Lawrence Semiconductor Research Laboratory,play,3/27/2024
JM Thompson,play,3/27/2024
Hartz,play,3/27/2024
Frawner,play,3/27/2024
Festspielhaus Baden-Baden,play,3/27/2024
