Organization,Threat Actor,Date
[Redacted] #1930,thegentlemen,1/20/2026
[Redacted] #1936,akira,1/16/2026
2LG Prod,thegentlemen,3/18/2026
4DITSOLUTIONS.COM,clop,1/25/2026
A Lococo Wholesale,qilin,3/5/2026
A&A Global Industries,akira,2/18/2026
AB Data,qilin,2/8/2026
ABAR S.p.A.,qilin,2/20/2026
Abatix,thegentlemen,1/30/2026
abdata.com,qilin,2/7/2026
abramssales.com,incransom,3/1/2026
Abutriek,qilin,3/5/2026
Accolend,qilin,3/19/2026
Ace Ethanol,akira,2/27/2026
ACFA,thegentlemen,2/26/2026
ACR1.COM Commercial Roofing,qilin,3/27/2026
ACS Accountancy,incransom,2/16/2026
acwapower.com \ https://www.larsentoubro.com/,incransom,2/24/2026
Advanced Animations,qilin,3/10/2026
Advanced Connection Corporation,thegentlemen,2/25/2026
AERIFY.IO,clop,1/25/2026
Aero-Coating,qilin,1/15/2026
A-Fast Tile & Coping,qilin,3/10/2026
AFDL,qilin,3/7/2026
Afezo,thegentlemen,3/1/2026
Affinity Designs,qilin,3/18/2026
AGENCAVI SRL,qilin,3/20/2026
Agis Civil Engineering Construction,thegentlemen,2/10/2026
AIGBUSINESS.COM,clop,2/14/2026
AIGHEALTHCARE.IN,clop,3/30/2026
aircotedivoire.com,incransom,2/19/2026
airports.com.na,incransom,3/19/2026
AkkÃ¶k Holding,qilin,3/2/2026
Alarmco,qilin,3/13/2026
Albany Pumps,qilin,3/6/2026
"Alef Realty, LLC",qilin,3/11/2026
All India Minerals,thegentlemen,3/1/2026
AllChem Industries,qilin,2/22/2026
Alpha Consult,qilin,2/26/2026
altaortho.com,incransom,3/9/2026
Altius Geotecnia y Obras Especiales,qilin,1/20/2026
Aluthea Group,qilin,3/3/2026
Amata,thegentlemen,2/26/2026
American Beauty School,akira,2/27/2026
AMR PEMCO,qilin,2/7/2026
Anabuki Kosan,qilin,2/10/2026
anagnosdoor.com,incransom,1/27/2026
Anchor Computer Systems,qilin,2/12/2026
Andringa Law,qilin,2/11/2026
Angus-Young Associates,akira,3/19/2026
Ankara-Ä°zmir,thegentlemen,2/6/2026
ANSTECHINC.COM,clop,2/14/2026
Anteriad,qilin,1/8/2026
AOT Japan,incransom,2/5/2026
Applied Products,akira,3/5/2026
APRO Asian Protection Pte Ltd,incransom,2/26/2026
arbd.com,incransom,3/9/2026
Arca Service,qilin,3/18/2026
Ardene Holdings,akira,2/13/2026
Area Limpia,thegentlemen,2/10/2026
Arimex Importadora,qilin,3/11/2026
ARKTLA.ORG,clop,2/7/2026
Arnaud,qilin,3/26/2026
Aroostook Mental Health Services,qilin,3/24/2026
Artemedica,qilin,3/7/2026
ASB Saarland,qilin,3/6/2026
Aschwanden & Partner,akira,1/23/2026
atchadwick.net,incransom,2/12/2026
ATS Group,qilin,3/4/2026
Augusta Housing Authority,qilin,2/9/2026
AUGUSTEA.COM,clop,2/7/2026
Autitransa,akira,3/23/2026
Autofinanciera,thegentlemen,1/20/2026
Automation One Business Systems Inc,incransom,1/3/2026
Autostrad Rent a Car,thegentlemen,2/13/2026
auxhomeservices.com,incransom,2/12/2026
Axiomatic Technologies Corporation,akira,3/27/2026
Ayuntamiento de Beniel,thegentlemen,1/20/2026
ÅžemsioÄŸlu UÅŸak Ev TarhanasÄ±,qilin,1/25/2026
Balneario,qilin,1/18/2026
BAM - Brand Art Media,thegentlemen,2/6/2026
"Bantry Bespoke Joinery, Murnane & O'Shea",akira,1/29/2026
BAQUS.CO.UK,clop,1/25/2026
barrypgoldberg.com,incransom,3/30/2026
Bayshore Ford Truck Sales,qilin,3/3/2026
bclawoffices.com,incransom,3/4/2026
BCN Medical,thegentlemen,3/16/2026
bdtronic,akira,3/20/2026
BE09.FR,clop,2/14/2026
Beacon Mutual Insurance,incransom,1/31/2026
Beasley & Gilkison,akira,2/10/2026
Bedrosians Tile & Stone,qilin,3/26/2026
Bergmanis Preyra,qilin,1/15/2026
Berkmann Wine Cellars,qilin,1/6/2026
Best Attorneys,incransom,2/2/2026
Best Insurance Agency,qilin,1/12/2026
BHS Bau,akira,3/27/2026
BIB Insurance Brokers,thegentlemen,1/20/2026
Biogel,qilin,3/16/2026
Bitgo,incransom,2/14/2026
BITS Business Information Technology Solutions,thegentlemen,3/20/2026
BK Group,akira,3/4/2026
Blantyre Capital,qilin,3/30/2026
Bluefish Dental & Orthodontics,qilin,2/21/2026
Bluemega,thegentlemen,1/21/2026
Blystone & Bailey,incransom,2/3/2026
Body By Fisher,qilin,2/9/2026
Borg Argentina,qilin,1/24/2026
BORING.COM,clop,1/8/2026
Borough of Moonachie,incransom,1/3/2026
Boutique Harley-Davidson,thegentlemen,2/25/2026
Bouygues Energies & Services,qilin,1/10/2026
BOYDEN.COM,clop,2/14/2026
BR-ALSETH.NO,clop,1/25/2026
BRINKS.CO.NZ,clop,1/25/2026
British School of Brasilia,thegentlemen,1/20/2026
Brm,qilin,2/17/2026
BROADREACHRETAIL.COM,clop,2/14/2026
Broadway National,akira,3/16/2026
Brockhaus,akira,1/12/2026
Brockman Injury Lawyer,incransom,3/3/2026
Brothers Produce,qilin,3/7/2026
Bryant Consultants,akira,1/30/2026
BTX Global Logistics,qilin,3/18/2026
BUHLMANN GROUP,akira,1/7/2026
Bulk Handling Systems Companies,akira,1/13/2026
BUREAUX.FR,clop,1/25/2026
Business Automation Specialists of Minnesota,akira,3/4/2026
C4 (Carroll County Cannabis Co.,qilin,2/10/2026
"Cal Spas, Inc.",qilin,1/4/2026
Callagy Law Firm,incransom,1/27/2026
Campbell Rappold & Yurasits,qilin,2/12/2026
Canal Capital,thegentlemen,3/16/2026
Cape Fear Country Club,incransom,1/13/2026
Career Adventures,akira,3/19/2026
Cargo Largo,akira,2/18/2026
Caribbean Medical Center,thegentlemen,3/16/2026
Carrera Casting,qilin,2/13/2026
Cary Pediatric Center,qilin,1/17/2026
Casa de EspaÃ±a,thegentlemen,1/21/2026
Casadei,qilin,1/19/2026
Casartigiani,qilin,2/16/2026
Castle Group,qilin,2/17/2026
Castles Technology UK & Ireland,qilin,2/11/2026
castlestechemea.com,qilin,2/7/2026
CCCM.BC.CA,clop,1/25/2026
Cedar Grove Warehouse,akira,2/18/2026
CENTAURPRODUCTS.COM,clop,1/25/2026
CENTINELA.COM.BR,clop,2/7/2026
Central Roofing South Wales,qilin,1/17/2026
Centro de Desarrollo Emprendedor Ensenada,qilin,1/21/2026
Centro de Especialidades,thegentlemen,3/16/2026
Centrotherm International,qilin,1/25/2026
cerboniservices.com,incransom,3/24/2026
Cerio,thegentlemen,3/19/2026
CFDT.FR,clop,2/14/2026
CFM Mozambique,qilin,1/16/2026
ChÃ¨vre & Rutsch & Herren NotariatsbÃ¼ro,qilin,2/4/2026
ChainPower Technology,qilin,2/4/2026
Charm Diamond Centres,akira,2/16/2026
Chase Asia,thegentlemen,3/16/2026
CHEHARDY.COM,clop,2/14/2026
Cheongdam OracleClinic,qilin,3/5/2026
Chickasaw Holding,qilin,3/31/2026
Ching Feng Home Fashions,qilin,2/27/2026
ChokChey Finance,incransom,2/2/2026
Chonburi Provincial Administration,thegentlemen,2/6/2026
CHS Villach,thegentlemen,3/3/2026
Chu & Yang Dental,qilin,1/28/2026
cirrusaviation,incransom,1/16/2026
City of New Castle,thegentlemen,2/13/2026
City of Seal Beach and Seal Beach Police Department,qilin,3/1/2026
CJL Engineering,qilin,3/4/2026
Clark Foam Products,thegentlemen,2/11/2026
CLEARWAYGROUP.COM,clop,1/25/2026
Clipper Petroleum,akira,1/21/2026
CLOUD.CLEARWAYGROUP.COM,clop,3/30/2026
CLOUDDATAWORKS.CA,clop,2/7/2026
CMHHELI.COM,clop,2/7/2026
COBU-ARCH.COM,clop,2/7/2026
CognitiveTPG,akira,2/24/2026
COIT,akira,2/11/2026
Colacem,qilin,1/17/2026
Colliers International Idaho,akira,3/9/2026
Comdat Datasystems,thegentlemen,2/15/2026
Commenco,akira,1/16/2026
Commercial Paving,qilin,1/7/2026
Community Property Management,akira,1/29/2026
CompactInd,incransom,1/10/2026
Complete Thermal Svc,qilin,2/22/2026
Complexul Energetic Oltenia,thegentlemen,1/6/2026
Composition Systems,qilin,3/11/2026
Com-Tec,akira,2/27/2026
Comtec 2000,thegentlemen,3/4/2026
CONCEPTNET,akira,3/23/2026
"Concord Components, Wefapress, Environment Masters, FairmontHot Springs Resort,Road Americ...",akira,3/24/2026
Conectados Chile S.A.,qilin,2/12/2026
Conklin Office Furniture,qilin,3/3/2026
Conpet S.A. (COTE.RO),qilin,2/5/2026
ControlGMC,thegentlemen,3/12/2026
"Conveyors, Inc.",incransom,3/30/2026
CONWEST.COM,clop,2/7/2026
Cooperativa de HostelerÃ­a de Navarra,qilin,1/30/2026
