Organization,Threat Actor,Date
Brooklyn Defender Services,genesis,6/30/2026
clc-tn.com,settra,6/30/2026
Hemmersbach GmbH & Co. KG,qilin,6/30/2026
https://sza.it/,incransom,6/30/2026
ilex-paysages.com,settra,6/30/2026
joyconstructionnyc.com,settra,6/30/2026
Medlink Georgia,cmdorganization,6/30/2026
on-us,gunra,6/30/2026
ORA Group Information,pear,6/30/2026
orion4value.com,settra,6/30/2026
owensborograin.com,settra,6/30/2026
paipharma.com,BrainCipher,6/30/2026
petradiamonds.com,settra,6/30/2026
PirÃ¡mide Seguros,gunra,6/30/2026
Port Angeles Composite,cmdorganization,6/30/2026
Primed Halberstadt Medizintechnik,aurora,6/30/2026
rcfassoc.com,settra,6/30/2026
Sociedad Latina,pear,6/30/2026
"Spector and Lenz, PC",pear,6/30/2026
touredge.com,settra,6/30/2026
universalplant.com,chaos,6/30/2026
Western Construction,play,6/30/2026
wilfley.com,settra,6/30/2026
www.maytrucking.com,embargo,6/30/2026
Yuditec S.A.,gunra,6/30/2026
Abans Group,blacknevas,6/29/2026
agroprime,dragonforce,6/29/2026
Axionlog,qilin,6/29/2026
Bonacio,ransomhouse,6/29/2026
Boston Orthotics & Prosthetics,anubis,6/29/2026
Bristol Place,qilin,6/29/2026
C****h,payoutsking,6/29/2026
ccic.com.tw,Blackfield,6/29/2026
ESMS Global Limited,anubis,6/29/2026
GDN AR(Dorinka),incransom,6/29/2026
Gsma,qilin,6/29/2026
guardianbarrierservices.com,threeam,6/29/2026
hwaseng,dragonforce,6/29/2026
KALIACT ANCHETA et Associs,qilin,6/29/2026
Kunert Fashion,qilin,6/29/2026
LÃ¸renskog kommune,cmdorganization,6/29/2026
Lam Soon,qilin,6/29/2026
medipakpharma.com,dragonforce,6/29/2026
Metal Sur Famin,qilin,6/29/2026
"METCO Services, Metco Southeast",cmdorganization,6/29/2026
Musashino University,qilin,6/29/2026
NASCO,qilin,6/29/2026
stni.co.kr,dragonforce,6/29/2026
straightperformance.de,unsafe,6/29/2026
vipimaging,dragonforce,6/29/2026
W****e,payoutsking,6/29/2026
1-800-dentist,qilin,6/28/2026
acemacon.org,threeam,6/28/2026
canopybrands.us,settra,6/28/2026
conduril.pt,settra,6/28/2026
doosan.com,settra,6/28/2026
dystar.com,settra,6/28/2026
eogb.co.uk,stormous,6/28/2026
eshacloudqa.com,stormous,6/28/2026
FCCI Insurance Group,Redact,6/28/2026
Fidelity Security Group,cmdorganization,6/28/2026
ford.mx,krybit,6/28/2026
"HIGUCHI USA, INC",stormous,6/28/2026
higuchi-inc.co.jp,stormous,6/28/2026
hmcfarms.com,settra,6/28/2026
Hologic,Redact,6/28/2026
lifevantage.com,settra,6/28/2026
monoprix.tn,stormous,6/28/2026
pchome.com.tw,settra,6/28/2026
qdi.com,settra,6/28/2026
tmscentral.com,settra,6/28/2026
Transcore,qilin,6/28/2026
turbodata.com,settra,6/28/2026
va-glass.com,settra,6/28/2026
Aptora,dragonforce,6/27/2026
hellmold-plank.de,safepay,6/27/2026
J&J Gaming,play,6/27/2026
Kuhnline,play,6/27/2026
Benchmark Industrial Supply,play,6/26/2026
callhorton.com,incransom,6/26/2026
ClÃ­nica La Sabana,payload,6/26/2026
Hokua,AiLock,6/26/2026
ingerman.com,chaos,6/26/2026
johndufourlaw.com,incransom,6/26/2026
Kohinoor Mills,cmdorganization,6/26/2026
Mosaic Partners,payload,6/26/2026
NSW Rural Fire Service,nova,6/26/2026
Omax Autos,Wallstreet,6/26/2026
Precise Forms,akira,6/26/2026
Software Arge,payload,6/26/2026
theswansonlawgroup.com,incransom,6/26/2026
vslmarine,nova,6/26/2026
*************,insomnia,6/25/2026
Clearview Eye Centre,interlock,6/25/2026
"Delegal Poindexter & Underkofler, P.A.",morpheus,6/25/2026
Grupo Riquelme,nightspire,6/25/2026
GSP Crop Science Pvt,incransom,6/25/2026
ISOPLUS,qilin,6/25/2026
I-SYS,AuditTeam,6/25/2026
JMS Southeast,akira,6/25/2026
Life Bridges,incransom,6/25/2026
Nachlass Nord,anubis,6/25/2026
Padget Technologies,akira,6/25/2026
politur.gob.do,krybit,6/25/2026
roofdepot.com,chaos,6/25/2026
sansilvestre.edu.pe,krybit,6/25/2026
Thyssenkrupp Marine Systems (TKMS) GmbH / Atlas Elektronik,thegentlemen,6/25/2026
alejandria,nova,6/24/2026
Cash Canada,qilin,6/24/2026
impulso-store.com,stormous,6/24/2026
lorenzoni-store.com,stormous,6/24/2026
lpgroup.pt,nova,6/24/2026
Miami Machine,akira,6/24/2026
montechiaro-store.com,stormous,6/24/2026
Quest Health Solutions,anubis,6/24/2026
transvill,nova,6/24/2026
AYA BANK,lapsus$,6/23/2026
cloudquantum,nova,6/23/2026
Coldstat Refrigeration,cmdorganization,6/23/2026
CorporaciÃ³n Primax S.A.,aurora,6/23/2026
FTL-Fast Transit Line,nova,6/23/2026
gov.br,apt73,6/23/2026
IH Engineers,akira,6/23/2026
kliknklik.com,apt73,6/23/2026
Lee International,qilin,6/23/2026
Leo International,akira,6/23/2026
Meta,bravox,6/23/2026
Reynella East College,interlock,6/23/2026
viennaairport.com,apt73,6/23/2026
Aerospace & Advanced Composites GmbH,aurora,6/22/2026
belpointeasset.com \ belpointe.com,incransom,6/22/2026
