Organization,Threat Actor,Date
**********.com,kawa4096,7/27/2025
**********.net,kawa4096,7/27/2025
*********.bh,cloak,8/9/2025
********.org,kawa4096,7/28/2025
*******roup.ro,cloak,8/9/2025
***.c*m.tw,devman,8/1/2025
[Redacted],qilin,7/24/2025
[Redacted] #1510,qilin,9/13/2025
[Removed] #1534,coinbasecartel,9/15/2025
1 ACT Driving Schools,killsec,9/10/2025
2fORM Architecture,beast,7/24/2025
5ÇÿSec,dragonforce,7/2/2025
a********p.com,J,8/14/2025
Ç?aŽ?rŽñ Group,qilin,8/11/2025
†ø‡œ‘ñ‘ï?†??‚??†??Š­ùŠ?­„¯«‘??‚?†?ª†÷,direwolf,8/25/2025
AB Mauri Private,thegentlemen,9/9/2025
ABcom,play,8/14/2025
abfe,lynx,8/20/2025
Able Home Care,worldleaks,7/24/2025
ABM Wireless INC,dragonforce,8/30/2025
"About Ross, Brittain& Schonberg Co., Lpa",akira,9/19/2025
Acarlar Ltd,direwolf,7/28/2025
Accelerated Academy,killsec,9/10/2025
Accflex ERP,arcusmedia,9/17/2025
Accident Injury Solicitors,interlock,8/26/2025
accsnet.com,warlock,8/17/2025
Ace Wire Spring & Form,akira,7/9/2025
ACEA SpA,worldleaks,7/30/2025
Acetificio Andrea Milano,akira,7/16/2025
ACMARK,apos,8/15/2025
ACRO Automation Systems,worldleaks,9/18/2025
Act Legal,worldleaks,7/11/2025
Admiral Gaming Network,lynx,8/6/2025
Adrian Kenya,lynx,7/15/2025
AdScale,coinbasecartel,9/15/2025
Advanced Blending Solutions,akira,8/20/2025
Advanced HPC,anubis,8/13/2025
Advanced Security Systems,sinobi,8/18/2025
advion.com,warlock,8/17/2025
Afpa,incransom,8/6/2025
Aggressive Air Compressor & co,qilin,8/3/2025
Agility CIS,play,9/22/2025
agrofair,qilin,8/11/2025
Ahtna Incorporated,qilin,8/13/2025
Ail Hospitality Group,pear,7/3/2025
airfastindonesia.com,warlock,8/25/2025
Ak** Me***,blackshrantac,9/26/2025
akd-ekbo.de,safepay,8/26/2025
Akribis Systems,direwolf,7/20/2025
"Alan Shintani, Inc",anubis,9/19/2025
Alascom,rhysida,8/10/2025
Al-Babtain Power & Telecommunication,thegentlemen,9/29/2025
Albavision.tv,global,7/28/2025
albertaindustrialcontrols.com,safepay,8/19/2025
Aldagi,medusa,8/26/2025
alereon.com,incransom,7/1/2025
Alexander BÇ¬rkle,akira,9/23/2025
Algorithmica Research,thegentlemen,9/9/2025
All States Materials Group,play,9/1/2025
All Truck Transportation Co,spacebears,8/21/2025
Allegheny Answering Service,dragonforce,7/2/2025
Allegis Group,everest,9/9/2025
alliancesteelco.com,safepay,9/17/2025
allmaxnutrition.com,incransom,8/27/2025
allphaselandscape.net,qilin,8/29/2025
Allstarmg,blackbyte,7/16/2025
Allure Clinics,killsec,9/16/2025
alpresor.se,qilin,7/14/2025
Alt Vision,pear,7/8/2025
alt******.tr,blackshrantac,9/17/2025
Alta?,blackshrantac,9/20/2025
altas.com.tr,blackshrantac,9/18/2025
Aluf Plastics,akira,9/12/2025
Ambitek,spacebears,8/21/2025
Amelia Overhead Doors,play,9/27/2025
amsfulfillment.com,chaos,9/24/2025
Amv International Development,thegentlemen,9/9/2025
Anadolu Hastaneleri,direwolf,7/20/2025
Anderson & Karrenberg,interlock,7/18/2025
Anderson Aluminum,play,9/9/2025
Anderson Packaging,akira,8/11/2025
Announcement 16-09-2025,arcusmedia,9/16/2025
AntÇünio BelÇ¸m & AntÇünio GonÇõalve,ciphbit,9/24/2025
anthembio.com,warlock,8/17/2025
apderm.com,qilin,8/18/2025
APEX Asset Management,qilin,9/15/2025
Apex CoVantage,akira,9/30/2025
APG,play,9/22/2025
APL,everest,7/21/2025
Apntelecom.com,IMNCrew,7/4/2025
Arboris,play,9/1/2025
Archer Health,killsec,9/7/2025
Architectural DesignWest,akira,8/11/2025
ARCTICGROUP,qilin,7/19/2025
argeninta,warlock,8/17/2025
Ark Consultancy,blackbyte,7/16/2025
Arlington Occupational Health and Wellness - Full leak published,everest,7/3/2025
ARMONIA MEDICAL S.A.S.,thegentlemen,9/17/2025
armourhome.co.uk,safepay,9/17/2025
Aroeira Salles Advogados,direwolf,8/25/2025
Artists&Clients,lunalock,9/2/2025
Aseguradora Fortaleza,beast,7/13/2025
asi-group.com,incransom,7/21/2025
Asserson,dragonforce,9/27/2025
Assetlabs,arcusmedia,7/5/2025
Assisted Living Pharmacy Service LLC,qilin,8/12/2025
Astro Industries Inc.,qilin,7/25/2025
atcmanufacturing,warlock,8/17/2025
atlanta neighborhood charter school,qilin,8/30/2025
atlantissubmarines,qilin,7/2/2025
Atlas Pressed Metals,play,9/27/2025
Atlas Transfer & Storage,akira,8/11/2025
Aupaircare and Intraxinc,everest,9/9/2025
Aurora Air Products,akira,8/11/2025
Automated Business Solutions,akira,9/1/2025
AV Services Barcelona,nova,9/25/2025
AVA Senior Connect,killsec,9/9/2025
Avantic Medical Lab - Full leak published,everest,7/3/2025
avosinamed.com,qilin,8/7/2025
Avv Emilio Marco Casali,direwolf,8/14/2025
Awesome Asset Management Co,qilin,9/15/2025
awmedicalvillage.org,global,8/20/2025
awo-ka-land.de,incransom,9/24/2025
AX CAPITAL,killsec,9/22/2025
aym.com.mx,J,8/5/2025
AZpro Group (azprogroup.com),J,9/30/2025
azurewave.com,qilin,7/29/2025
B&M - Expertise - Audit,cicada3301,7/18/2025
b*u*l*****.tw,devman,8/1/2025
Backstage Library Works,play,7/29/2025
Bader Gruppe,ciphbit,9/29/2025
BAF Management Consulting,akira,7/15/2025
BALNEARIO DE MONDARIZ,qilin,7/24/2025
BAM,coinbasecartel,9/28/2025
Banco Guanabara,dragonforce,7/30/2025
Banville Wine Merchants,play,8/26/2025
BÇ?CHNER BARELLA Holding,lynx,8/29/2025
BAR Architects & Interiors,cephalus,8/26/2025
Barbas Nunez Sanders Butler & Hovsepian,beast,8/14/2025
Barlows Electrical,beast,8/15/2025
Bartek Ingredients,incransom,9/2/2025
batemangroundworks.co.uk,safepay,8/19/2025
Batesky Law Office (BLO),spacebears,9/22/2025
Baum Precision Machining,play,9/15/2025
Baycoat,akira,8/27/2025
bayviewci.org,incransom,7/10/2025
BD Group,arcusmedia,7/5/2025
BDE Computer Services,play,9/8/2025
BDO PerÇ§,incransom,8/29/2025
Beaumont Bone & Joint Institute,pear,9/14/2025
Becker Robotic,worldleaks,7/10/2025
BEHCA,killsec,9/22/2025
Belk,dragonforce,7/14/2025
Belleville International,sinobi,9/28/2025
Belmont christian college,qilin,8/7/2025
bemac-merivale,lynx,9/4/2025
Ben-Mor Inc.,lynx,9/10/2025
Ben's Asphalt,akira,8/27/2025
Best Price Financial Services,everest,7/23/2025
BFLI,killsec,9/10/2025
BIG ROCK RESORT,d4rk4rmy,8/3/2025
BIG SILVER,d4rk4rmy,7/8/2025
Bignault & Carter,sinobi,9/29/2025
BinBaires,beast,9/6/2025
bio3g.com,qilin,9/14/2025
Biofloral,play,7/1/2025
BIOLAP Soluciones MÇ¸dicas,thegentlemen,9/9/2025
biosorthopedics.com,safepay,9/17/2025
bisa.com.pe,safepay,7/22/2025
Bitbox,everest,7/26/2025
Bizcom Electronics,lynx,8/20/2025
Black Butte Coal,incransom,9/14/2025
Blanco Creek Farms,akira,7/28/2025
Blazer Building,akira,8/21/2025
BlockBets Casino,killsec,9/11/2025
Bluewater Yacht Sales,play,8/11/2025
blytheco.com,qilin,9/3/2025
bmsi.org,BrainCipher,9/16/2025
BMW,everest,9/17/2025
Bobcat Central,akira,8/19/2025
Bolt Nut Manufacturing,direwolf,8/25/2025
Bondtech,akira,8/11/2025
Bouey & Black LLP,kairos,7/25/2025
Bounds Gillespie Killebrew Tushek Architects,lynx,9/8/2025
Box Elder County,interlock,8/13/2025
Brad's Bedding Plants,play,7/30/2025
brebeuf.org,qilin,8/27/2025
brennytransportation.com,incransom,7/10/2025
bridgerecruit.co.uk,J,7/30/2025
BRIDGEWATER ASSOCIATES,d4rk4rmy,8/7/2025
"BRIGHT SYSTEM JAPAN CO., LTD",incransom,9/13/2025
brightwork.com,warlock,8/17/2025
BRIJU.PL,everest,8/15/2025
Broad High Asset Management,qilin,9/18/2025
Bronze Craft,securotrop,7/21/2025
browneco.com,safepay,9/17/2025
Brownstone Agency,akira,9/12/2025
Brunton-Shaw,everest,8/6/2025
BRUNTON-SHAW.COM,everest,8/6/2025
bthcpa.com,safepay,9/1/2025
"Bucks County Opportunity Council, INC.",moneymessage,8/4/2025
Budinger & Associates,securotrop,8/6/2025
Bugnard,akira,9/30/2025
Built Environment Engineers,sinobi,7/29/2025
Burger & Brown Engineering,sinobi,8/20/2025
Burke Contracting,akira,9/30/2025
burmann.de,qilin,8/11/2025
Burnett and Son Meat,dragonforce,7/16/2025
Burnham Nationwide,cicada3301,7/18/2025
Burt Process Equipment,akira,8/21/2025
busaba.com,devman,9/29/2025
BusOnlineTicket Thailand,killsec,9/10/2025
bvasd.net,qilin,8/12/2025
bw-lv.de,BrainCipher,8/4/2025
BW-RF,coinbasecartel,9/28/2025
C B King Memorial School(branch),incransom,7/4/2025
C Well,coinbasecartel,9/30/2025
c****gl*b*.com,devman,7/5/2025
C****o,payoutsking,7/15/2025
cadex.com,qilin,8/1/2025
Cadisa,thegentlemen,9/23/2025
Cadorim,killsec,9/22/2025
Cahill Seeds,dragonforce,7/2/2025
Cain Electric,beast,8/19/2025
Calsoft Systems,sinobi,8/9/2025
camaradealmeria.com,qilin,9/3/2025
camaravalencia.com,safepay,8/29/2025
camdon.ca,qilin,8/7/2025
"Cameron, Hodges, Coleman, LaPointe",sarcoma,7/1/2025
CANDhenterprises.com,incransom,9/4/2025
capmark.org,qilin,7/1/2025
Caprez Ingenieure AG,dragonforce,9/1/2025
Cardinal Machinery,dragonforce,9/26/2025
Cardinal Services,rhysida,7/15/2025
cardinal-services.com,incransom,9/18/2025
cardiofocus.com,incransom,9/18/2025
Caresoft Global caresoftglobal.com,blacknevas,9/29/2025
CareSTL Health,cephalus,8/26/2025
Cariri,medusa,9/13/2025
Carmichael Engineering,akira,8/22/2025
carolynmyoung.com,incransom,7/31/2025
Carrollton Ear Nose and Throat,incransom,8/5/2025
CARSTAR Business Group,sarcoma,7/14/2025
CARTONAJES BERNABEU SAU www.cartonajesbernabeu.com serviced by IT company Verne Group www....,blacknevas,9/11/2025
Carus,akira,9/4/2025
CAS EXhibition Partners,lynx,9/15/2025
Cascade Pacific Pulp,akira,9/30/2025
CASINO DE MONTE-CARLO,d4rk4rmy,8/3/2025
Catholic Charities of the Diocese of Albany,pear,9/14/2025
CB Quality Machining & Engineering,interlock,7/18/2025
CBG Surveying Texas,play,8/20/2025
CBL-SRL,incransom,9/15/2025
CCI Torrevieja,arcusmedia,7/27/2025
