Victim,Group,Date
CM Buck & Associates,lynx,1/1/2025
lianbeng.sg,ransomhub,1/1/2025
http://www.kitevuc.com,ciphbit,1/1/2025
Kitevuc - Equipamentos E Veiculos UtilitÃ¡rios E Comerciais,ciphbit,1/1/2025
regencymedia,lockbit3,1/1/2025
scps.mp.gov.in,funksec,1/1/2025
groupegm.com,ransomhub,1/2/2025
confluxhr.com,darkvault,1/2/2025
Carrollton Orthopaedic Clinic,8base,1/3/2025
Tarnaise des Panneaux SAS,8base,1/3/2025
Jay Enn Corporation,8base,1/3/2025
VOLTAIRE AVOCATS,8base,1/3/2025
Grupo Buddemeyer,8base,1/3/2025
SolGeo AG Baugelogie and Geotechnik,8base,1/3/2025
Lyons Specialty Co.,8base,1/3/2025
Nikki-Universal Co Ltd,hunters,1/3/2025
www.geedingconstruction.com,ransomhub,1/3/2025
www.alliancemat.com,ransomhub,1/3/2025
Amourgis & Associates,lynx,1/3/2025
ISOR,cicada3301,1/3/2025
maxvaluecredits.com,qilin,1/4/2025
www.smawins.com,qilin,1/4/2025
YorkTest Laboratories,qilin,1/4/2025
lscd,qilin,1/4/2025
Montreal North,rhysida,1/4/2025
aliorbank.pl,bashe,1/4/2025
assurified.com,bashe,1/4/2025
baldinger-ag.ch,bashe,1/4/2025
bigalsfoodservice.co.uk,bashe,1/4/2025
bms.com,bashe,1/4/2025
certifiedinfosec.com,bashe,1/4/2025
credio.eu,bashe,1/4/2025
fpj.com.py  ,bashe,1/4/2025
gannons.co.uk,bashe,1/4/2025
lamaisonducitron.com,bashe,1/4/2025
legilog.fr,bashe,1/4/2025
minerasancristobal.com,bashe,1/4/2025
netromsoftware.ro,bashe,1/4/2025
northernsafety.com,bashe,1/4/2025
pindrophearing.co.uk,bashe,1/4/2025
polleninformation.at,bashe,1/4/2025
prixet.com,bashe,1/4/2025
protectasecurity.pe,bashe,1/4/2025
sansirostadium.com,bashe,1/4/2025
scopeset.de,bashe,1/4/2025
sella.eng.br,bashe,1/4/2025
servicepower.com,bashe,1/4/2025
sfr.fr,bashe,1/4/2025
siapenet.gov.br,bashe,1/4/2025
talonsolutions.co.uk,bashe,1/4/2025
trifecta.com,bashe,1/4/2025
trinitesolutions.com,bashe,1/4/2025
Auxis,apos,1/4/2025
datascan.com,eldorado,1/4/2025
perucontrols.com,eldorado,1/4/2025
hasa-arg.com,eldorado,1/4/2025
PerÃº Controls S.A.C.,ElDorado,1/4/2025
HIDROCARBUROS ARGENTINOS S.A.,ElDorado,1/4/2025
Inventory Management and Counting Solutions,ElDorado,1/4/2025
technotouch.co,funksec,1/4/2025
gsw.co.in,funksec,1/4/2025
bayan-ulgii.cfga.gov.mn,funksec,1/5/2025
ribernuez.com,funksec,1/5/2025
Veccio and Company PLLC,qilin,1/5/2025
Hunter Taubman Fischer & Li,lynx,1/5/2025
Akantha,ElDorado,1/5/2025
Car Care Plan - Turkey,hellcat,1/5/2025
molars.co.ke,ransomhub,1/6/2025
Gunnar Prefab,akira,1/6/2025
Action Imports,akira,1/6/2025
Bluegrass Ingredients,akira,1/6/2025
Los Andes,akira,1/6/2025
yoniot.cn,darkvault,1/6/2025
A Bar A Ranch,akira,1/6/2025
Maverick Constructors,akira,1/6/2025
WSINC.COM,clop,1/6/2025
VELSOL.COM,clop,1/6/2025
ASCOM S.p.A.,8base,1/7/2025
Omnitravel,8base,1/7/2025
Weininger Metall System GmbH,8base,1/7/2025
IRO PARIS,8base,1/7/2025
CED Solutions Computer IT Training Centers,8base,1/7/2025
SPORT BOUTIQ,8base,1/7/2025
Lake Shore Public Schools,8base,1/7/2025
HECTARE,8base,1/7/2025
senergy.net,funksec,1/7/2025
Sunflower Medical Group,rhysida,1/7/2025
BergstrÃ¶m Wines,8base,1/7/2025
u0 Excel Transportation,lynx,1/7/2025
AAA Environmental,akira,1/7/2025
Drywall Partitions,akira,1/7/2025
Drivestream,akira,1/7/2025
Pus Gmbh,morpheus,1/7/2025
Arrotex Pharmaceuticals,morpheus,1/7/2025
Saint-Bar (saintbar.be),fog,1/7/2025
ndceg.com,funksec,1/7/2025
General Digital CRM,spacebears,1/8/2025
"EBL PARTNERS (construction|interiors), Florida",spacebears,1/8/2025
Youth Eastside Services,incransom,1/8/2025
acquafertil.com.br,ransomhub,1/8/2025
sahpetrol.com.tr,ransomhub,1/8/2025
Slawson Companies,akira,1/8/2025
Surface Combustion,akira,1/8/2025
fwmep.edu,incransom,1/8/2025
Press Color,akira,1/8/2025
kingpower.com,abyss,1/8/2025
bendixengineering,medusalocker,1/9/2025
Fukoku Co. Ltd.,spacebears,1/9/2025
awimc.com\$102.7M\USA\440GB\100% DISCLOSED,cactus,1/9/2025
Permoda,akira,1/9/2025
Galfer,akira,1/9/2025
Huntington Hotel Group,termite,1/9/2025
Chain And Rope Suppliers LTD,akira,1/9/2025
Northern Lights Electric,akira,1/9/2025
hapsch.de,threeam,1/9/2025
CO-VER Power Technology SpA Data Leak,everest,1/9/2025
Izmocars Data Leak,everest,1/9/2025
Myhealthcarebilling Data Leak,everest,1/9/2025
Sarah Car Care Data Leak,everest,1/9/2025
mindev.gov.gr,funksec,1/9/2025
gags.gov.eg,funksec,1/9/2025
alansarioman.com,embargo,1/9/2025
Rent-2-Own,medusa,1/9/2025
azpay.me | SOLD,bashe,1/9/2025
castlehillha.co.uk,ransomhub,1/9/2025
drive-lines.com,ransomhub,1/9/2025
depewgillen.com,incransom,1/9/2025
evasair.com,eldorado,1/9/2025
EVAS Group,ElDorado,1/10/2025
www.fairhallzhang.com,ransomhub,1/10/2025
www.primalwear.com,ransomhub,1/10/2025
www.rotaryeng.co.th,ransomhub,1/10/2025
www.mie.com.my,ransomhub,1/10/2025
www.excelresourcing.co.uk,ransomhub,1/10/2025
www.temotekstil.com.tr,ransomhub,1/10/2025
Evidn,everest,1/10/2025
www.leaguecenter.org,ransomhub,1/10/2025
ptcky.com\$5M\USA\902GB\100% DISCLOSED,cactus,1/10/2025
xtremmedia.com,ransomhub,1/10/2025
OmniRide (omniride.com),FOG,1/10/2025
Metalmatrix Clamps,akira,1/10/2025
Capesesp,akira,1/10/2025
Thomas J. Henry Law,akira,1/10/2025
Qualinet,rhysida,1/10/2025
www.wisesocon.com,ransomhub,1/10/2025
Ichikawa North America Corporation,akira,1/10/2025
amerplumb.com,ransomhub,1/10/2025
Sheyenne Tooling & Manufacturing,sarcoma,1/10/2025
Peikko,akira,1/10/2025
Protected: Title Hidden,everest,1/10/2025
EKOMERCIO.COM,clop,1/11/2025
migonline.com,blackbasta,1/11/2025
avril.ca,blackbasta,1/11/2025
plasmatherm.com,blackbasta,1/11/2025
granbyindustries.com,blackbasta,1/11/2025
schuff.com,blackbasta,1/11/2025
seocommarrakech.com,funksec,1/11/2025
pleasantsconstruction.com,qilin,1/11/2025
cityofwesthaven.com,qilin,1/11/2025
Bnext.nl,blackbasta,1/11/2025
Mortgage Investors Group (MIG),blackbasta,1/11/2025
Avril SupermarchÃ© SantÃ©,blackbasta,1/11/2025
Brachot,blackbasta,1/11/2025
Arun Estates,blackbasta,1/11/2025
Plasma-Therm,blackbasta,1/11/2025
Granby Industries,blackbasta,1/11/2025
Schuff Steel Company,blackbasta,1/11/2025
Barber Specialties,hunters,1/11/2025
COROB,hunters,1/11/2025
Costex,hunters,1/11/2025
Patriarche Office of Architecture,hunters,1/11/2025
RocSearch,hunters,1/11/2025
T. Hasegawa USA,hunters,1/11/2025
Unisource Information Services,hunters,1/11/2025
Astaphans,lynx,1/11/2025
Jim Thompson,lynx,1/11/2025
wissenhive.com,funksec,1/12/2025
adveo.com\$740.7M\France\1.1TB\100% DISCLOSED,cactus,1/13/2025
linxe.com,funksec,1/13/2025
mi.edu,ransomhub,1/13/2025
telering.de,lockbit3,1/13/2025
kuzstu-nf.ru,funksec,1/13/2025
mymobileforms app,funksec,1/13/2025
healthcarewithinreach.org,ransomhub,1/13/2025
Delap & Waller,lynx,1/13/2025
Conad (conad.lan),lynx,1/13/2025
PT PINS Indonesia,dragonforce,1/13/2025
Novati Constructions,lynx,1/13/2025
Browdy (bl.local),lynx,1/13/2025
PHG CPAs (bushman.biz),lynx,1/13/2025
Nash Brothers Construction (nashdom.local),lynx,1/13/2025
SERGAS Group,lynx,1/13/2025
Welcomehallmission.com,everest,1/13/2025
atpformosa.gob.ar,lockbit3,1/13/2025
candelasyasociados.es,lockbit3,1/13/2025
lamejor.com.co,lockbit3,1/13/2025
nicatel.com.uy,lockbit3,1/13/2025
oyolasvegas.com,lockbit3,1/13/2025
Findhelp Information Services,incransom,1/13/2025
Riverina Medical,incransom,1/14/2025
Imperial Valley Respite (ivrespite.com),incransom,1/14/2025
Biomedical Caledonia Medical Laboratory (calmedlab.local),incransom,1/14/2025
Onecare,incransom,1/14/2025
Solaris Pharma,everest,1/14/2025
Spectrum,incransom,1/14/2025
Intelservice.com,ransomhub,1/14/2025
Sharm Reef Hotel,spacebears,1/14/2025
bluai.ai,funksec,1/14/2025
Clnica CES,qilin,1/14/2025
"Thilges & Bernhardt, Attorneys at Law",qilin,1/14/2025
GebÃ¤udereinigungsakademie,8base,1/14/2025
Bring Solution,8base,1/14/2025
Moraviakov s.r.o.,8base,1/14/2025
Wynnewood High School,8base,1/14/2025
Union Studio,akira,1/14/2025
PJ's Rebar,akira,1/14/2025
Moinho Globo Alimentos,akira,1/14/2025
"SciTech Services, Inc.",fog,1/14/2025
The University of Oklahoma (ou.edu),fog,1/14/2025
pittman-construction.com,lockbit3,1/14/2025
Buttery (butterycompany.com),FOG,1/14/2025
Kinseth Hospitality Companies ,lynx,1/14/2025
"Douglas County, GA (DDCWSA.COM)",lynx,1/14/2025
QualiTech (qualitech.com),lynx,1/14/2025
WPD.WOODPORTDOORS.COM,lynx,1/14/2025
Beyond79,akira,1/14/2025
The Chicano Federation,rhysida,1/14/2025
Boart & Wire,sarcoma,1/14/2025
udb.net,ransomhub,1/14/2025
AVI Southeast,medusa,1/14/2025
The Metropolitan Borough of Gateshead,medusa,1/14/2025
Indus Towers,medusa,1/14/2025
DURAYDUNCAN.COM,clop,1/14/2025
jgele.com,kairos,1/15/2025
J.G. Electrical Installations,kairos,1/15/2025
www.eurocert.pl,ransomhub,1/15/2025
A*****Y.com,flocker,1/15/2025
FSOCIETY X FUNKSEC,flocker,1/15/2025
anwsd.org,threeam,1/15/2025
communisis.com & paragon.world,lynx,1/15/2025
barilga.gov.mn,funksec,1/15/2025
Woodport Doors,lynx,1/15/2025
pnp.co.za,bashe,1/15/2025
Lowe Engineers,lynx,1/15/2025
Combined Pool and Spa,kairos,1/15/2025
AKConstructors.com,ransomhub,1/15/2025
mts.gov.eg,funksec,1/15/2025
ddelta.com.mx,safepay,1/15/2025
equipo-postal.com,safepay,1/15/2025
termopuerto.com,safepay,1/15/2025
bellandgraham.co.nz,safepay,1/15/2025
proexequialesresurgir.com,safepay,1/15/2025
greyform.sg,safepay,1/15/2025
safecoastseafoods.com,safepay,1/15/2025
Prestige Maintenance USA,medusa,1/15/2025
Access Capital Partners SA,lynx,1/16/2025
www.liteputer.com.tw,ransomhub,1/16/2025
www.solariumrevestimentos.com.br,ransomhub,1/16/2025
bsegroup.it,ransomhub,1/16/2025
Delta Dental of Washington,8base,1/16/2025
Netform GmbH,8base,1/16/2025
Farmacia Cofar,killsec,1/16/2025
anupalanonline.com,killsecurity,1/16/2025
JD Lighting,sarcoma,1/16/2025
Dona Formosa,sarcoma,1/16/2025
Volt Infrastructure,everest,1/16/2025
Woodlake,everest,1/16/2025
The Hoff Brand SL,everest,1/16/2025
Solaris Pharma proof,everest,1/16/2025
Fish Nelson and Holden,bianlian,1/16/2025
platinumcollision.com,safepay,1/16/2025
Real Tax,kairos,1/16/2025
peponline.org,incransom,1/17/2025
Kilgore College (kilgore.edu),incransom,1/17/2025
Washington Gastroenterology (DHSWA.NET),incransom,1/17/2025
Regina Coeli Convent,incransom,1/17/2025
Taylor Regional Hospital (thcg.local),incransom,1/17/2025
LYNXSPA,morpheus,1/17/2025
Chain And Rope SuppliersLTD,akira,1/17/2025
VODOTEHNIKA D.D.,akira,1/17/2025
Divimast,akira,1/17/2025
aquamanaesp.gov.co,funksec,1/17/2025
betclic.com,bashe,1/17/2025
nightingalehammerson.org,kairos,1/17/2025
Gossett Motor Cars,lynx,1/17/2025
Nightingale Hammerson,kairos,1/17/2025
gonzalesusd.net,safepay,1/18/2025
Kassin & Carrow,lynx,1/18/2025
Marina Family Medical,moneymessage,1/18/2025
Refreshment Services Pepsi,qilin,1/18/2025
USE Federal Credit Union,qilin,1/18/2025
MERCURYGATE.COM,clop,1/18/2025
MassDevelopment,bianlian,1/18/2025
WELKER | World-Class Manufacturing,qilin,1/19/2025
Richardson,qilin,1/19/2025
TG3 Electronics,rhysida,1/19/2025
P****b.gov.pk,flocker,1/20/2025
"Delta Fabrication and Machine, Inc",medusa,1/20/2025
D & M Trim,medusa,1/20/2025
Clutch Industries,lynx,1/20/2025
Sentinel Systems,lynx,1/20/2025
Zuk Group,handala,1/20/2025
Rabwin,qilin,1/20/2025
cana group corp,sarcoma,1/20/2025
compass-underwriting-ltd,sarcoma,1/20/2025
Jacquet Weston Engineering,sarcoma,1/20/2025
fol-23.fr,bashe,1/20/2025
The Urswick School,kairos,1/20/2025
theurswickschool.co.uk,kairos,1/20/2025
PetroVietnam Exploration Production Corporation,hunters,1/20/2025
Marukai,lynx,1/21/2025
Bethany Hospital,spacebears,1/21/2025
insta.com.pk,funksec,1/21/2025
thecitybank.com,funksec,1/21/2025
cu-barika.dz,funksec,1/21/2025
Nimbus Facility Services,killsec,1/21/2025
FAAB Invest Advisors Private Limited,killsec,1/21/2025
supremegroup.co.in,ransomhub,1/21/2025
Inaya Clinique,spacebears,1/21/2025
ge*******.com,cloak,1/21/2025
Wa**********.com,cloak,1/21/2025
pre*************.com,cloak,1/21/2025
malindoair.com,bashe,1/21/2025
Solaris-pharma.com leakage,everest,1/21/2025
ayswrewards.cow,funksec,1/21/2025
navy-mil-bd,funksec,1/21/2025
RETAL Baltic Films,incransom,1/21/2025
miedemaproduce.com,ransomhub,1/21/2025
boardman-hamilton.com,ransomhub,1/21/2025
whychoosebw.com,ransomhub,1/21/2025
precisionmechsd.com,ransomhub,1/21/2025
solge.es,safepay,1/21/2025
brunetti.com,safepay,1/21/2025
semesco.com,safepay,1/21/2025
Solaris-pharma.com,everest,1/21/2025
Gossett Motor Cars ,lynx,1/22/2025
"Mintz Law Firm, LLC",lynx,1/22/2025
SANTA MARIA LABORATORIO,spacebears,1/22/2025
