Organization,Threat Actor,Date
Wayne Memorial Hospital,monti,6/30/2024
P********.pl,cloak,6/30/2024
Unit*****************.com,cloak,6/30/2024
www.sicoob.com.br,ransomhub,6/30/2024
a4hs-dom.local,incransom,6/30/2024
lambertz.de,blackbasta,6/30/2024
life.vet.br,darkvault,6/30/2024
jla.com,embargo,6/29/2024
pandacare.ae,darkvault,6/29/2024
DRM Resources,rhysida,6/29/2024
Clima Lodi,arcusmedia,6/29/2024
DatAnalítica,arcusmedia,6/29/2024
Freightliner of Grand Rapids & Kalamazoo,arcusmedia,6/29/2024
Puyallup Tribe (ptoi.local),incransom,6/29/2024
City Of Coon Rapids,incransom,6/29/2024
Cambridge University Press & Assessment,incransom,6/29/2024
Spandex.com,ransomhub,6/29/2024
midamea.com,ransomhub,6/28/2024
ASI,bianlian,6/28/2024
Power Lube Industrial,akira,6/28/2024
Wilmots (Legal services),akira,6/28/2024
Francesco Parisi,ransomhouse,6/28/2024
Gestores Administrativos Reunidos,ransomhouse,6/28/2024
GBA GROUP,incransom,6/28/2024
equinocioplay.com.br,ransomhub,6/27/2024
www.cipl.org.in,ransomhub,6/27/2024
buyeazzy.com,darkvault,6/27/2024
promarkbrands.com,dAn0n,6/27/2024
landmarklife.com,abyss,6/27/2024
conferenceusa.com,abyss,6/27/2024
www.mangimifusco.it,ransomhub,6/27/2024
www.cloudeurope.it,ransomhub,6/27/2024
coca-cola.com - Myanmar office,ransomhub,6/27/2024
daniellegroup.com,ransomhub,6/27/2024
H*******Y,flocker,6/27/2024
Ocasa,akira,6/27/2024
Gallos Metal Solutions,akira,6/27/2024
KADOKAWA Corporation,blacksuit,6/27/2024
GED Lawyers – Sells Open,arcusmedia,6/27/2024
Total Revisjon DA,arcusmedia,6/27/2024
Ontario West and Bill Blaney Insurance Brokers ,medusa,6/27/2024
North Coast Petroleum,medusa,6/27/2024
Longviewbridge.com,cloak,6/27/2024
Ruland-viersen.de,cloak,6/27/2024
Waterbury Newton,akira,6/26/2024
YKS,qilin,6/26/2024
US Dermatology Partners,bianlian,6/25/2024
Better Business Bureau,bianlian,6/25/2024
PCI Developments,akira,6/25/2024
Beckett Thermal Solutions,akira,6/25/2024
Utility Datacenter,akira,6/25/2024
competenz.co.nz,lockbit3,6/25/2024
decreditos.com,darkvault,6/25/2024
Planar,incransom,6/25/2024
peregrinegp.com (178gb + private SQL_DB 24gb),blacksuit,6/25/2024
rbbschools.net,blacksuit,6/25/2024
axiavg.com,blacksuit,6/25/2024
catiglass.com,blacksuit,6/25/2024
ibewlocal1.org,blacksuit,6/25/2024
doityoungs.com,blacksuit,6/25/2024
keeservices.com,blacksuit,6/25/2024
theeyeclinicsurgicenter.com,blacksuit,6/25/2024
sanglier.org.uk,blacksuit,6/25/2024
arangobillboard.com,blacksuit,6/25/2024
keybenefit.com,blackbasta,6/25/2024
scrubsandbeyond.com,blackbasta,6/25/2024
tpocc.org,abyss,6/25/2024
middletown-township.org,incransom,6/25/2024
www.harrisranchbeef.com,ransomhub,6/24/2024
www.concisa.eng.br,qiulong,6/24/2024
hydmech.com,cactus,6/24/2024
westfalia-automotive.com,cactus,6/24/2024
Agron (Five Ten) Adidas TERREX,akira,6/24/2024
multi-wing.com,ransomhub,6/24/2024
bitzsoftwares.com.br,ransomhub,6/24/2024
www.sicoob.com.br,ransomhub,6/24/2024
Compagnia Trasporti Integrati S.R.L,monti,6/24/2024
VTWin.ca,monti,6/24/2024
hiawathahomes.org,blacksuit,6/24/2024
Revolution Resources,blacksuit,6/24/2024
TPI,play,6/23/2024
Harvey Construction,play,6/23/2024
Belle Tire,play,6/23/2024
Hedrick Brothers Construction,play,6/23/2024
World inquest,play,6/23/2024
Bunger Steel,play,6/23/2024
RRCA Accounts Management,play,6/23/2024
ProMotion Holdings,play,6/23/2024
